# KMCs    CPU time    Old energy    New energy     barrier  Total rate   time step    Sim time    Selec Ev   Init Topo    Sad Topo    Fin Topo
# **** ***********    **********   *********** ***********  **********  ********** *********** *********** *********** *********** ***********
    46  0.2170E+05    -2335.6629    -2336.1275      0.1679  0.1168E+13  0.7060E-13  0.2095E-07       52745      933405      681703      392365
    47  0.2181E+05    -2336.1275    -2335.6629      0.6325  0.3483E+10  0.3187E-09  0.2126E-07      175996      392365      681703      933405
    48  0.2194E+05    -2335.6629    -2336.1275      0.1679  0.1168E+13  0.3152E-13  0.2126E-07       52745      933405      681703      392365
    49  0.2206E+05    -2336.1275    -2336.2816      1.0037  0.3483E+10  0.3064E-09  0.2157E-07      392364       54442     1193990      535016
    50  0.2345E+05    -2336.2816    -2336.0678      1.1578  0.5334E+08  0.3798E-07  0.5955E-07     1113964     1123313     1028966      207572
    51  0.2402E+05    -2336.0678    -2336.2541      0.9980  0.2134E+09  0.3224E-08  0.6278E-07      708306      346119      562242      529839
    52  0.2468E+05    -2336.2541    -2336.6923      0.6545  0.4556E+10  0.3514E-10  0.6281E-07      395711      434914      950180      604569
    53  0.2623E+05    -2336.6923    -2336.6585      0.5250  0.2360E+11  0.2297E-10  0.6284E-07      369358     1150274      545216      168196
    54  0.2745E+05    -2336.6585    -2336.9601      0.4918  0.5346E+11  0.7966E-11  0.6284E-07      292556       24006       54209      534844
    55  0.2855E+05    -2336.9601    -2337.0245      0.5747  0.7460E+10  0.9495E-10  0.6294E-07      806126      593603      342406      594001
    56  0.2945E+05    -2337.0245    -2336.8089      0.6090  0.6961E+10  0.1787E-10  0.6296E-07       28758      144863      159138      209340
    57  0.3019E+05    -2336.8089    -2337.0245      0.3934  0.6388E+11  0.4672E-10  0.6300E-07      123825      209340      159138      144863
    58  0.3020E+05    -2337.0245    -2336.8089      0.6090  0.6965E+10  0.1436E-09  0.6315E-07       28758      144863      159138      209340
    59  0.3020E+05    -2336.8089    -2337.0245      0.3934  0.6388E+11  0.2795E-10  0.6317E-07      123825      209340      159138      144863
    60  0.3021E+05    -2337.0245    -2336.9601      0.6390  0.6965E+10  0.4565E-10  0.6322E-07     1194932      594001      342406      593603
    61  0.3035E+05    -2336.9601    -2337.0246      0.5746  0.1517E+11  0.3261E-10  0.6325E-07      806126      593603      342406      594001
    62  0.3036E+05    -2337.0246    -2336.8089      0.6090  0.6962E+10  0.1155E-09  0.6337E-07       28758      144863      159138      209340
    63  0.3037E+05    -2336.8089    -2337.0246      0.3933  0.6389E+11  0.1232E-11  0.6337E-07      123825      209340      159138      144863
